Instituição;Código;TCB;TD;TC;Cidade;UF;Data;Instituição Sujeita à Apuração da Exposição Total;Instituição Utiliza Metodologia Simplificada;Exposição Total ou Ativo Total (R$ mil);Total de Ativos Consolidados no Exterior (US$ mil);SR;TCip;
BCO INBURSA S.A. - PRUDENCIAL;1000081335;b1;I;3;SAO PAULO;SP;12/2025;Sim;Não;12.552.104;0;S4;1
BCO INDUSCRED DE INVESTIM. S/A - PRUDENCIAL;1000081342;b2;I;2;SAO PAULO;SP;12/2025;Sim;Não;82.523;0;S4;1
BCO KDB BRASIL S.A. - PRUDENCIAL;1000081603;b1;I;3;SAO PAULO;SP;12/2025;Sim;Não;2.958.102;0;S4;1
BCO KEB DO BRASIL SA - PRUDENCIAL;1000081232;b1;I;3;SAO PAULO;SP;12/2025;Sim;Não;1.441.565;0;S4;1
BCO LA NACION ARGENTINA - PRUDENCIAL;1000081270;b1;I;3;SAO PAULO;SP;12/2025;Sim;Não;88.707;0;S4;1
BCO LA PROVINCIA B AIRES BCE - PRUDENCIAL;1000081263;b1;I;3;SAO PAULO;SP;12/2025;Sim;Não;227.412;0;S4;1
BCO LUSO BRASILEIRO S.A. - PRUDENCIAL;1000081706;b1;I;3;SAO PAULO;SP;12/2025;Sim;Não;3.758.089;0;S4;1
BCO MUFG BRASIL S.A. - PRUDENCIAL;1000081713;b1;I;3;SAO PAULO;SP;12/2025;Sim;Não;9.369.376;0;S3;1
BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL;1000081555;b1;I;3;SAO PAULO;SP;12/2025;Sim;Não;78.163.912;0;S3;1
BCO SUMITOMO MITSUI BRASIL S.A. - PRUDENCIAL;1000081720;b1;C;3;SAO PAULO;SP;12/2025;Sim;Não;10.991.321;57.024;S3;1
BCO TOYOTA DO BRASIL S.A. - PRUDENCIAL;1000081562;b2;C;3;SAO PAULO;SP;12/2025;Sim;Não;14.175.619;0;S3;1
BCO TRIANGULO S.A. - PRUDENCIAL;1000081438;b1;C;2;UBERLANDIA;MG;12/2025;Sim;Não;4.855.304;0;S4;1
BCO TRICURY S.A. - PRUDENCIAL;1000081696;b2;I;2;SAO PAULO;SP;12/2025;Sim;Não;769.944;0;S4;1
BCO WOORI BANK DO BRASIL S.A. - PRUDENCIAL;1000081823;b1;I;3;SAO PAULO;SP;12/2025;Sim;Não;921.833;0;S4;1
