Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito;Títulos e Valores Mobiliários;Passivo Exigível;Captações;Patrimônio Líquido;Lucro Líquido;Patrimônio de Referência para Comparação com o RWA (e);Índice de Basileia;Índice de Imobilização;Número de Agências;Número de Postos de Atendimento;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VANGUARDA - SICREDI VANGUARDA PR/SP/RJ;78414067;b3S;S4;I;2;MEDIANEIRA;PR;12/2025;12.214.079;7.012.408;3.439.319;10.764.085;7.311.687;1.449.995;148.942;1.632.799;20,24%;23,66%;0;102
COOPERATIVA DE CRÉDITO SICREDI SERRANA RS/ES;90608712;b3S;S4;I;2;CARLOS BARBOSA;RS;12/2025;12.146.390;6.145.821;4.749.526;10.866.335;8.279.552;1.280.055;155.195;1.339.371;17,46%;12,12%;0;53
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO SICREDI PIONEIRA RS - SICREDI PIONEIRA RS;91586982;b3S;S4;I;2;NOVA PETROPOLIS;RS;12/2025;11.237.440;5.834.368;4.211.611;10.031.224;8.136.809;1.206.217;113.107;1.203.553;19,18%;7,78%;0;59
NEON PAGAMENTOS IP - PRUDENCIAL;1000085702;n1;S4;C;2;SAO PAULO;SP;12/2025;11.193.746;5.938.706;1.552.732;9.876.379;6.599.239;1.317.367;-8.134;758.680;13,76%;NA%;6;0
APE POUPEX - PRUDENCIAL;1000081184;n1;S3;I;2;BRASILIA;DF;12/2025;11.149.831;4.816.870;1.028.467;3.475.084;3.286.952;7.674.747;137.603;1.717.867;56,12%;1,14%;61;0
COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DO SUL E SUDESTE - CENTRAL SICREDI SUL/SUDESTE;87437687;b3C;S4;I;2;PORTO ALEGRE;RS;12/2025;10.931.584;0;9.176.103;8.290.160;10.068;2.641.423;10.535;379.909;21,92%;0,50%;0;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS - SICOOB MAXICRÉDITO;78825270;b3S;S4;I;2;CHAPECO;SC;12/2025;10.912.414;7.020.303;175.166;9.609.439;8.125.511;1.302.975;95.507;1.319.235;16,48%;6,51%;0;102
SISPRIME DO BRASIL - COOPERATIVA DE CRÉDITO;2398976;b3S;S4;I;2;LONDRINA;PR;12/2025;10.460.224;5.510.648;3.891.531;8.623.097;8.438.270;1.837.127;191.617;1.821.130;22,80%;5,42%;0;50
BANCO DIGIMAIS - PRUDENCIAL;1000081799;b1;S4;C;3;SAO PAULO;SP;12/2025;10.064.712;1.675.977;3.265.694;9.277.391;8.594.963;787.321;-10.789;1.072.369;12,08%;43,02%;3;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO UNIÃO - SICREDI UNIAO RS/ES;88894548;b3S;S4;I;2;SANTA ROSA;RS;12/2025;9.918.768;6.221.990;2.517.475;8.708.387;5.229.096;1.210.381;113.138;1.188.677;16,09%;11,21%;0;75
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO SUDOESTE MT/PA - SICREDI SUDOESTE MT/PA;32995755;b3S;S4;I;2;TANGARA DA SERRA;MT;12/2025;9.838.585;5.122.208;3.114.231;8.600.770;6.096.184;1.237.815;154.049;1.318.784;19,32%;11,55%;0;101
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO CENTRO BRASILEIRA LTDA.;37395399;b3S;S5;I;2;GOIANIA;GO;12/2025;9.832.781;6.541.781;121.861;8.701.283;7.949.379;1.131.499;5.853;NI;NI%;NI%;0;114
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO CENTRO SUL DO MATO GROSSO DO SUL E BAHIA - SICREDI CENTRO-SUL MS/BA;26408161;b3S;S4;I;2;DOURADOS;MS;12/2025;9.785.138;6.322.921;2.082.181;8.415.011;5.241.796;1.370.127;120.039;1.382.243;19,30%;10,83%;0;63
SICOOB CREDICOM - COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS MEDICOS E PROFISSIONAIS DA AREA DE SAUDE DO BRASIL LTDA.;42898825;b3S;S5;I;2;BELO HORIZONTE;MG;12/2025;9.681.848;4.820.767;253.847;8.321.501;7.688.199;1.360.347;83.903;1.275.216;23,76%;1,20%;0;55
BCO MUFG BRASIL S.A. - PRUDENCIAL;1000081713;b1;S3;I;3;SAO PAULO;SP;12/2025;9.317.376;2.131.141;4.372.020;7.695.350;6.412.908;1.622.027;46.221;1.581.324;29,75%;0,78%;2;0
CREFISA S.A. CFI - PRUDENCIAL;1000083632;b1;S4;C;2;SAO PAULO;SP;12/2025;9.277.379;4.560.093;1.819.479;2.267.162;1.009.317;7.010.216;277.343;6.888.905;54,78%;0,81%;6;1.189
BANCO PACCAR - PRUDENCIAL;1000084899;b2;S4;I;3;PONTA GROSSA;PR;12/2025;8.895.778;8.147.977;0;6.049.208;5.728.057;2.846.569;87.474;2.878.481;34,62%;0,01%;2;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO UNIÃO DOS ESTADOS DE MATO GROSSO DO SUL, TOCANTINS E OESTE DA BAHIA - SICREDI UNIÃO MS/TO E OESTE DA BA;24654881;b3S;S4;I;2;CAMPO GRANDE;MS;12/2025;8.846.370;5.410.611;2.085.280;7.879.891;4.526.797;966.479;69.389;1.049.598;16,74%;8,31%;0;60
BCO SUMITOMO MITSUI BRASIL S.A. - PRUDENCIAL;1000081720;b1;S3;C;3;SAO PAULO;SP;12/2025;8.792.863;2.152.258;3.651.817;6.830.239;5.806.489;1.962.624;-244.258;2.075.060;30,71%;1,45%;2;0
BS2 - PRUDENCIAL;1000080422;b1;S3;C;2;BELO HORIZONTE;MG;12/2025;8.519.760;2.875.622;1.752.654;7.546.333;6.149.567;973.427;59.231;786.040;14,12%;33,71%;4;0
INDUSTRIAL DO BRASIL - PRUDENCIAL;1000080477;b1;S4;C;2;SAO PAULO;SP;12/2025;8.507.140;5.954.149;1.499.291;7.763.897;6.848.103;743.243;66.260;1.032.676;16,33%;6,84%;12;0
COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DOS ESTADOS DO PARANÁ, SÃO PAULO E RIO DE JANEIRO - CENTRAL SICREDI PR/SP/RJ;80230774;b3C;S4;I;2;CURITIBA;PR;12/2025;8.443.690;0;7.093.991;6.514.755;18.076;1.928.936;8.221;319.935;25,73%;1,16%;0;0
