Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Disponibilidades (a);Aplicações Interfinanceiras de Liquidez (b);Títulos e Valores Mobiliários (c);Instrumentos Derivativos (d);Operações de Crédito;;;;;Operações de Arrendamento Financeiro;;;;Outras Operações com Características de Concessão de Crédito;;;;;Valores a Receber de Transações de Pagamentos - Usuários Finais (Pós-pago);;;Outros Ativos Realizáveis (i);Ativo Permanente (j);Ativo Total (k) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h) + (i) + (j);
;;;;;;;;;;;;;Valor Contábil Bruto (e1);Perda Esperada (e2);Hedge de Valor Justo (e3);Ajuste a Valor Justo (e4);Operações de Crédito (e);Valor Contábil Bruto (f1);Perda Esperada (f2);Hedge de Valor Justo (f3);Operações de Arrendamento Financeiro (f);Valor Contábil Bruto (g1);Perda Esperada (g2);Hedge de Valor Justo (g3);Ajuste a Valor Justo (g4);Outras Operações com Características de Concessão de Crédito (g);Valor Contábil Bruto (h1);Perda Esperada (h2);Valores a Receber de Transações de Pagamentos - Usuários Finais (Pós-pago) (h);;;;
SOFISA - PRUDENCIAL;1000080271;b1;S3;C;2;SAO PAULO;SP;12/2025;243.509;98.576;8.326.669;40.256;5.451.702;-320.573;0;0;5.131.130;0;0;0;0;2.780.244;-40.926;0;-29.588;2.709.730;189.535;-1.447;188.088;1.243.930;134.757;18.116.645
HONDA - PRUDENCIAL;1000080611;b2;S4;C;3;SAO PAULO;SP;12/2025;6.226;605.532;4.468.374;221.213;10.820.699;-946.986;0;0;9.873.713;0;0;0;0;0;0;0;0;0;0;0;0;2.417.619;64.498;17.657.175
SCOTIABANK BRASIL - PRUDENCIAL;1000081452;b1;S3;C;3;SAO PAULO;SP;12/2025;8.599;8.973.776;4.613.060;1.292.976;1.665.569;-1.550;0;0;1.664.019;0;0;0;0;260.226;-288;0;0;259.938;0;0;0;626.858;36.774;17.476.000
CLOUDWALK IP - PRUDENCIAL;1000086581;n1;S4;C;2;SAO PAULO;SP;12/2025;238.796;784.774;1.158.114;0;686.533;-139.891;0;0;546.642;0;0;0;0;0;0;0;0;0;0;0;0;14.418.659;26.313;17.173.297
GM - PRUDENCIAL;1000080848;b2;S3;C;3;SAO PAULO;SP;12/2025;95;527.896;2.422;0;13.832.312;-367.283;0;0;13.465.029;97.638;-10;0;97.628;0;0;0;0;0;0;0;0;2.741.114;120.469;16.954.653
VOLVO - PRUDENCIAL;1000080769;b2;S3;C;3;CURITIBA;PR;12/2025;32.453;623.758;14.947;0;15.676.410;-588.568;0;0;15.087.842;3.241;-40;0;3.201;0;0;0;0;0;0;0;0;567.779;594.147;16.924.126
COOPERATIVA CENTRAL DE CRÉDITO COM INTERAÇÃO SOLIDÁRIA - CENTRAL CRESOL BASER;1401771;b3C;S3;I;2;FRANCISCO BELTRAO;PR;12/2025;1;197.776;3.787.875;54.113;97.283;-14;0;0;97.269;0;0;0;0;0;0;0;0;0;0;0;0;12.620.437;165.490;16.922.961
BR PARTNERS - PRUDENCIAL;1000080934;b2;S4;C;2;SAO PAULO;SP;12/2025;4.712;130.043;14.995.425;1.003.753;5.336;-75;0;0;5.262;0;0;0;0;194.716;-17.296;0;0;177.419;0;0;0;161.777;19.290;16.497.681
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;S3;I;2;BLUMENAU;SC;12/2025;52.771;0;660.328;0;9.261.814;-915.053;0;0;8.346.761;0;0;0;0;134.723;-103.273;0;0;31.450;0;0;0;7.219.950;45.574;16.356.834
MIZUHO - PRUDENCIAL;1000080697;b1;S3;I;3;SAO PAULO;SP;12/2025;12.115;4.254.717;6.659.857;574.883;1.026.331;-1.570;-2.002;0;1.022.759;0;0;0;0;2.592.536;-1.792;0;0;2.590.744;0;0;0;915.922;3.846;16.034.843
SCANIA - PRUDENCIAL;1000080776;b2;S3;C;3;SAO BERNARDO DO CAMPO;SP;12/2025;6.180;275.150;3.418;0;15.591.614;-671.246;0;0;14.920.368;39.847;-789;0;39.058;52.211;0;0;0;52.211;0;0;0;704.787;13.613;16.014.785
BANCO HSBC - PRUDENCIAL;1000084741;b1;S3;I;3;SAO PAULO;SP;12/2025;307.034;2.356.583;4.934.838;1.305.379;1.765.491;-18.207;0;0;1.747.284;0;0;0;0;3.253.622;-26.096;0;0;3.227.527;1.792;0;1.791;1.637.811;105.476;15.623.723
COOPERATIVA CENTRAL DE CRÉDITO UNICRED DO BRASIL - UNICRED DO BRASIL;315557;b3C;S3;I;2;SAO PAULO;SP;12/2025;28.990;4.184.005;9.196.916;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.445.253;354.115;15.209.280
BCO DES. DE MG S.A. - PRUDENCIAL;1000081328;b4;S3;I;1;BELO HORIZONTE;MG;12/2025;6.322;395.261;4.574.365;39.248;6.942.650;-452.642;0;115;6.490.122;0;0;0;0;1.594.428;-172.087;0;0;1.422.341;0;0;0;1.326.215;75.214;14.329.089
COOPERATIVA CENTRAL DE CREDITO DO ESPIRITO SANTO - SICOOB CENTRAL ES;32428294;b3C;S4;I;2;VITORIA;ES;12/2025;4;9.696.489;3.743.310;0;125.300;-541;0;0;124.759;0;0;0;0;0;0;0;0;0;0;0;0;482.296;238.476;14.285.333
SICOOB COCRED COOPERATIVA DE CRÉDITO;71328769;b3S;S3;I;2;SERTAOZINHO;SP;12/2025;17.406;284.788;350.012;0;5.219.805;-511.158;0;0;4.708.647;0;0;0;0;3.666.985;-125.477;0;0;3.541.508;0;0;0;5.223.625;107.429;14.233.416
